date,EV Trend,Coronavirus Trend,Coronavirus_unscaled,Coronavirus_monthly,isPartial_x,scale_x,Electric vehicle_unscaled,Electric vehicle_monthly,isPartial_y,scale_y
2015-11-07,10.26,0.0,,,,,,,,
2015-11-08,10.45,0.0,,,,,,,,
2015-11-10,11.78,0.0,,,,,,,,
2015-11-11,11.59,0.0,,,,,,,,
2015-11-14,7.79,0.0,,,,,,,,
2015-11-15,2.47,0.0,,,,,,,,
2015-11-17,17.67,0.0,,,,,,,,
2015-11-18,12.92,0.0,,,,,,,,
2015-11-21,15.77,0.0,,,,,,,,
2015-11-24,17.29,0.0,,,,,,,,
2015-11-25,12.35,0.0,,,,,,,,
2015-11-27,11.02,0.0,,,,,,,,
2015-12-01,18.0,0.0,,,,,,,,
2015-12-02,10.44,0.0,,,,,,,,
2015-12-03,13.14,0.0,,,,,,,,
2015-12-04,12.78,0.0,,,,,,,,
2015-12-05,7.02,0.0,,,,,,,,
2015-12-07,17.46,0.0,,,,,,,,
2015-12-08,9.54,0.0,,,,,,,,
2015-12-10,12.42,0.0,,,,,,,,
2015-12-11,15.66,0.0,,,,,,,,
2015-12-12,7.92,0.0,,,,,,,,
2015-12-13,9.18,0.0,,,,,,,,
2015-12-15,9.9,0.0,,,,,,,,
2015-12-16,10.98,0.0,,,,,,,,
2015-12-17,16.02,0.0,,,,,,,,
2015-12-18,12.96,0.0,,,,,,,,
2015-12-19,8.64,0.0,,,,,,,,
2015-12-22,12.06,0.0,,,,,,,,
2015-12-24,8.28,0.0,,,,,,,,
2015-12-25,1.44,0.0,,,,,,,,
2015-12-26,3.78,0.0,,,,,,,,
2015-12-27,1.26,0.0,,,,,,,,
2015-12-28,8.1,0.0,,,,,,,,
2015-12-29,7.199999999999999,0.0,,,,,,,,
2015-12-30,17.28,0.0,,,,,,,,
2016-01-05,15.12,0.0,,,,,,,,
2016-01-06,11.7,0.0,,,,,,,,
2016-01-07,14.04,0.0,,,,,,,,
2016-01-12,4.859999999999999,0.0,,,,,,,,
2016-01-14,3.96,0.0,,,,,,,,
2016-01-15,17.82,0.0,,,,,,,,
2016-01-16,9.72,0.0,,,,,,,,
2016-01-18,5.22,0.0,,,,,,,,
2016-01-21,15.48,0.0,,,,,,,,
2016-02-09,18.4,0.0,,,,,,,,
2016-02-14,6.800000000000001,0.0,,,,,,,,
2016-02-22,19.4,0.0,,,,,,,,
2016-02-24,15.0,0.0,,,,,,,,
2016-03-02,7.0,0.0,,,,,,,,
2016-03-11,6.6000000000000005,0.0,,,,,,,,
2016-03-24,9.2,0.0,,,,,,,,
2016-03-25,8.0,0.0,,,,,,,,
2016-04-01,26.0,0.0,,,,,,,,
2016-04-02,12.22,0.0,,,,,,,,
2016-04-03,10.92,0.0,,,,,,,,
2016-04-04,18.46,0.0,,,,,,,,
2016-04-05,15.86,0.0,,,,,,,,
2016-04-06,11.18,0.0,,,,,,,,
2016-04-07,9.1,0.0,,,,,,,,
2016-04-10,8.84,0.0,,,,,,,,
2016-04-12,10.14,0.0,,,,,,,,
2016-04-14,14.56,0.0,,,,,,,,
2016-04-15,7.28,0.0,,,,,,,,
2016-04-16,8.58,0.0,,,,,,,,
2016-04-17,10.66,0.0,,,,,,,,
2016-04-18,12.48,0.0,,,,,,,,
2016-04-19,13.78,0.0,,,,,,,,
2016-04-21,6.76,0.0,,,,,,,,
2016-04-22,11.96,0.0,,,,,,,,
2016-04-28,9.62,0.0,,,,,,,,
2016-04-29,6.5,0.0,,,,,,,,
2016-04-30,7.0200000000000005,0.0,,,,,,,,
2016-05-01,6.12,0.0,,,,,,,,
2016-05-12,11.52,0.0,,,,,,,,
2016-05-13,14.22,0.0,,,,,,,,
2016-05-14,7.38,0.0,,,,,,,,
2016-05-15,6.48,0.0,,,,,,,,
2016-05-17,13.32,0.0,,,,,,,,
2016-05-19,14.58,0.0,,,,,,,,
2016-05-22,13.86,0.0,,,,,,,,
2016-05-23,7.739999999999999,0.0,,,,,,,,
2016-05-25,9.36,0.0,,,,,,,,
2016-05-27,12.24,0.0,,,,,,,,
2016-05-30,6.3,0.0,,,,,,,,
2016-06-04,5.04,0.0,,,,,,,,
2016-06-08,16.919999999999998,0.0,,,,,,,,
2016-06-15,13.5,0.0,,,,,,,,
2016-06-20,14.76,0.0,,,,,,,,
2016-07-01,10.03,0.0,,,,,,,,
2016-07-03,7.99,0.0,,,,,,,,
2016-07-04,6.970000000000001,0.0,,,,,,,,
2016-07-06,5.2700000000000005,0.0,,,,,,,,
2016-07-07,11.05,0.0,,,,,,,,
2016-07-09,3.74,0.0,,,,,,,,
2016-07-10,8.33,0.0,,,,,,,,
2016-07-11,5.78,0.0,,,,,,,,
2016-07-12,8.5,0.0,,,,,,,,
2016-07-13,7.31,0.0,,,,,,,,
2016-07-14,17.0,0.0,,,,,,,,
2016-07-18,5.95,0.0,,,,,,,,
2016-07-19,7.82,0.0,,,,,,,,
2016-07-24,10.71,0.0,,,,,,,,
2016-07-26,10.37,0.0,,,,,,,,
2016-07-27,11.56,0.0,,,,,,,,
2016-07-31,9.01,0.0,,,,,,,,
2016-08-07,5.4,0.0,,,,,,,,
2016-08-08,6.66,0.0,,,,,,,,
2016-08-12,8.459999999999999,0.0,,,,,,,,
2016-08-26,5.76,0.0,,,,,,,,
2016-08-27,4.14,0.0,,,,,,,,
2016-08-29,15.3,0.0,,,,,,,,
2016-09-02,13.87,0.0,,,,,,,,
2016-09-06,14.25,0.0,,,,,,,,
2016-09-09,15.39,0.0,,,,,,,,
2016-09-10,9.5,0.0,,,,,,,,
2016-09-17,14.63,0.0,,,,,,,,
2016-09-22,13.3,0.0,,,,,,,,
2016-10-01,8.200000000000001,0.0,,,,,,,,
2016-10-24,18.2,0.0,,,,,,,,
2016-11-01,17.43,0.0,,,,,,,,
2016-11-02,18.27,0.0,,,,,,,,
2016-11-03,18.9,0.0,,,,,,,,
2016-11-04,17.22,0.0,,,,,,,,
2016-11-06,14.28,0.0,,,,,,,,
2016-11-07,18.06,0.0,,,,,,,,
2016-11-08,14.07,0.0,,,,,,,,
2016-11-11,8.61,0.0,,,,,,,,
2016-11-12,14.49,0.0,,,,,,,,
